乌鲁木齐市 87.616880,43.826630 N
兰州市 103.834170,36.061380 N
西宁市 101.777820,36.617290 N
沈阳市 123.429092,41.796768 N
长春市 125.324501,43.886841 N
哈尔滨市 126.642464,45.756966 N
北京市 116.405289,39.904987 N
天津市 117.190186,39.125595 N
呼和浩特市 111.751990,40.841490 N
银川市 106.232480,38.486440 N
太原市 112.549248,37.857014 N
石家庄市 114.502464,38.045475 N
济南市 117.000923,36.675808 N
郑州市 113.665413,34.757977 N
西安市 108.948021,34.263161 S
武汉市 114.298569,30.584354 S
南京市 118.76741,32.041546 S
合肥市 117.283043,31.861191 S
上海市 121.472641,31.231707 S
长沙市 112.982277,28.19409 S
南昌市 115.892151,28.676493 S
杭州市 120.15358,30.287458 S
福州市 119.306236,26.075302 S
广州市 113.28064,23.125177 S
台北市 121.5200760,25.0307240 S
海口市 110.199890,20.044220 S
南宁市 108.320007,22.82402 S
重庆市 106.504959,29.533155 S
昆明市 102.71225,25.040609 S
贵阳市 106.713478,26.578342 S
成都市 104.065735,30.659462 S
拉萨市 91.11450,29.644150 S
香港 114.165460,22.275340 S
澳门 113.549130,22.198750 S
